INDICATIVO;A�O;MES;DIA;NOMBRE;ALTITUD;C_X;C_Y;NOM_PROV;LONGITUD;LATITUD;HU00;HU07;HU13;HU18;HUMAX;HUMIN
B013X;2018;12;17;LLUC;490;1003867;4424762;BALEARES;253091;394924;69;68;63;87;89;60
B013X;2018;12;18;LLUC;490;1003867;4424762;BALEARES;253091;394924;89;90;51;52;90;42
B013X;2018;12;19;LLUC;490;1003867;4424762;BALEARES;253091;394924;75;71;67;79;88;59
B013X;2018;12;20;LLUC;490;1003867;4424762;BALEARES;253091;394924;73;89;57;85;90;57
B013X;2018;12;21;LLUC;490;1003867;4424762;BALEARES;253091;394924;90;90;51;87;90;48
B013X;2018;12;22;LLUC;490;1003867;4424762;BALEARES;253091;394924;90;90;51;87;90;49
B013X;2018;12;23;LLUC;490;1003867;4424762;BALEARES;253091;394924;89;90;55;87;90;54
B013X;2018;12;24;LLUC;490;1003867;4424762;BALEARES;253091;394924;89;90;44;87;90;44
B013X;2018;12;25;LLUC;490;1003867;4424762;BALEARES;253091;394924;90;90;42;82;90;42
B013X;2018;12;26;LLUC;490;1003867;4424762;BALEARES;253091;394924;89;90;65;87;90;54
B013X;2018;12;27;LLUC;490;1003867;4424762;BALEARES;253091;394924;89;90;77;87;90;77
B013X;2018;12;28;LLUC;490;1003867;4424762;BALEARES;253091;394924;89;89;76;86;89;67
B013X;2018;12;29;LLUC;490;1003867;4424762;BALEARES;253091;394924;89;89;58;87;90;57
B013X;2018;12;30;LLUC;490;1003867;4424762;BALEARES;253091;394924;89;84;36;71;90;36
B013X;2018;12;31;LLUC;490;1003867;4424762;BALEARES;253091;394924;57;39;37;71;82;35
B087X;2018;12;1;BANYALBUFAR;60;972832;4407816;BALEARES;230461;394121;77;75;61;79;81;61
B087X;2018;12;2;BANYALBUFAR;60;972832;4407816;BALEARES;230461;394121;81;70;59;70;89;55
B087X;2018;12;3;BANYALBUFAR;60;972832;4407816;BALEARES;230461;394121;73;81;85;71;89;51
